,Unnamed: 0,name-USen,Unnamed: 0,image_uri
0,0,2021 celebratory arch,0,https://acnhapi.com/v1/images/furniture/Ftr2021Arch
1,1,acoustic guitar,1,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_0_0
2,2,acoustic guitar,2,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_1_0
3,3,acoustic guitar,3,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_2_0
4,4,acoustic guitar,4,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_3_0
5,5,acoustic guitar,5,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_4_0
6,6,acoustic guitar,6,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_5_0
7,7,acoustic guitar,7,https://acnhapi.com/v1/images/furniture/FtrAcorsticguitar_Remake_6_0
8,8,air circulator,8,https://acnhapi.com/v1/images/furniture/FtrCirculator_Remake_0_0
9,9,air circulator,9,https://acnhapi.com/v1/images/furniture/FtrCirculator_Remake_1_0
10,10,air circulator,10,https://acnhapi.com/v1/images/furniture/FtrCirculator_Remake_2_0
11,11,air circulator,11,https://acnhapi.com/v1/images/furniture/FtrCirculator_Remake_3_0
12,12,air circulator,12,https://acnhapi.com/v1/images/furniture/FtrCirculator_Remake_4_0
13,13,alto saxophone,13,https://acnhapi.com/v1/images/furniture/FtrAltosax
14,14,anatomical model,14,https://acnhapi.com/v1/images/furniture/FtrAnatomicalmodel
15,15,anchor statue,15,https://acnhapi.com/v1/images/furniture/FtrShipanchor_Remake_0_0
16,16,anchor statue,16,https://acnhapi.com/v1/images/furniture/FtrShipanchor_Remake_1_0
17,17,anchor statue,17,https://acnhapi.com/v1/images/furniture/FtrShipanchor_Remake_2_0
18,18,anchor statue,18,https://acnhapi.com/v1/images/furniture/FtrShipanchor_Remake_3_0
19,19,anchor statue,19,https://acnhapi.com/v1/images/furniture/FtrShipanchor_Remake_4_0
20,20,anchor statue,20,https://acnhapi.com/v1/images/furniture/FtrShipanchor_Remake_5_0
21,21,angled signpost,21,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_0_0
22,22,angled signpost,22,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_1_0
23,23,angled signpost,23,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_2_0
24,24,angled signpost,24,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_3_0
25,25,angled signpost,25,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_4_0
26,26,angled signpost,26,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_5_0
27,27,angled signpost,27,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_6_0
28,28,angled signpost,28,https://acnhapi.com/v1/images/furniture/FtrSignpostTilt_Remake_7_0
29,29,antique bed,29,https://acnhapi.com/v1/images/furniture/FtrAntiqueBedW_Remake_0_0
30,30,antique bed,30,https://acnhapi.com/v1/images/furniture/FtrAntiqueBedW_Remake_1_0
31,31,antique bed,31,https://acnhapi.com/v1/images/furniture/FtrAntiqueBedW_Remake_2_0
32,32,antique bureau,32,https://acnhapi.com/v1/images/furniture/FtrAntiqueBureau_Remake_0_0
33,33,antique bureau,33,https://acnhapi.com/v1/images/furniture/FtrAntiqueBureau_Remake_1_0
34,34,antique bureau,34,https://acnhapi.com/v1/images/furniture/FtrAntiqueBureau_Remake_2_0
35,35,antique chair,35,https://acnhapi.com/v1/images/furniture/FtrAntiqueChairS_Remake_0_0
36,36,antique chair,36,https://acnhapi.com/v1/images/furniture/FtrAntiqueChairS_Remake_1_0
37,37,antique chair,37,https://acnhapi.com/v1/images/furniture/FtrAntiqueChairS_Remake_2_0
38,38,antique clock,38,https://acnhapi.com/v1/images/furniture/FtrAntiqueClock_Remake_0_0
39,39,antique clock,39,https://acnhapi.com/v1/images/furniture/FtrAntiqueClock_Remake_1_0
40,40,antique clock,40,https://acnhapi.com/v1/images/furniture/FtrAntiqueClock_Remake_2_0
41,41,antique console table,41,https://acnhapi.com/v1/images/furniture/FtrAntiqueConsole_Remake_0_0
42,42,antique console table,42,https://acnhapi.com/v1/images/furniture/FtrAntiqueConsole_Remake_1_0
43,43,antique console table,43,https://acnhapi.com/v1/images/furniture/FtrAntiqueConsole_Remake_2_0
44,44,antique mini table,44,https://acnhapi.com/v1/images/furniture/FtrAntiqueTableS_Remake_0_0
45,45,antique mini table,45,https://acnhapi.com/v1/images/furniture/FtrAntiqueTableS_Remake_1_0
46,46,antique mini table,46,https://acnhapi.com/v1/images/furniture/FtrAntiqueTableS_Remake_2_0
47,47,antique table,47,https://acnhapi.com/v1/images/furniture/FtrAntiqueTableL_Remake_0_0
